Ticker,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
WMI,ASX:WMI,WAM Microcap Limited (ASX:WMI),https://www.listcorp.com/asx/wmi/wam-microcap-limited,400324000,1.44,0,0,Financials
BC8,ASX:BC8,Black Cat Syndicate Limited (ASX:BC8),https://www.listcorp.com/asx/bc8/black-cat-syndicate-limited,398520000,0.73,0,0,Materials
CAJ,ASX:CAJ,Capitol Health Limited (ASX:CAJ),https://www.listcorp.com/asx/caj/capitol-health-limited,394673000,0.37,0,0,Health Care
GNG,ASX:GNG,GR Engineering Services Limited (ASX:GNG),https://www.listcorp.com/asx/gng/gr-engineering-services-limited,392893000,2.35,0,0,Materials
MGX,ASX:MGX,Mount Gibson Iron Limited (ASX:MGX),https://www.listcorp.com/asx/mgx/mount-gibson-iron-limited,392857000,0.325,0,0,Materials
SXE,ASX:SXE,Southern Cross Electrical Engineering Limited (ASX:SXE),https://www.listcorp.com/asx/sxe/southern-cross-electrical-engineering-limited,387155000,1.465,0,0,Industrials
NVX,ASX:NVX,Novonix Limited (ASX:NVX),https://www.listcorp.com/asx/nvx/novonix-limited,380445000,0.67,0,0,Information Technology
KCN,ASX:KCN,Kingsgate Consolidated Limited (ASX:KCN),https://www.listcorp.com/asx/kcn/kingsgate-consolidated-limited,380184000,1.475,0,0,Materials
RMC,ASX:RMC,Resimac Group Limited (ASX:RMC),https://www.listcorp.com/asx/rmc/resimac-group-limited,380000000,0.95,0,0,Financials
CDP,ASX:CDP,Carindale Property Trust (ASX:CDP),https://www.listcorp.com/asx/cdp/carindale-property-trust,379741000,4.69,0,0,Real Estate
THL,ASX:THL,Tourism Holdings Rentals Limited (ASX:THL),https://www.listcorp.com/asx/thl/tourism-holdings-rentals-limited,379611000,1.71,0,0,Industrials
AMH,ASX:AMH,AMCIL Limited (ASX:AMH),https://www.listcorp.com/asx/amh/amcil,378795000,1.195,0,0,Financials
IGB,ASX:IGB,iShares Treasury ETF (ASX:IGB),https://www.listcorp.com/asx/igb/ishares-treasury-etf,377983000,98.29,0,0,Unclassified
ECH,ASX:TECH,Global X Morningstar Global Technology ETF (ASX:TECH),https://www.listcorp.com/asx/tech/global-x-morningstar-global-technology-etf,376062000,114.97,0,0,Unclassified
PPS,ASX:PPS,Praemium Limited (ASX:PPS),https://www.listcorp.com/asx/pps/praemium-limited,374150000,0.78,0,0,Information Technology
LOB,ASX:GLOB,Barrow Hanley Global Share Fund (Managed Fund) (ASX:GLOB),https://www.listcorp.com/asx/glob/barrow-hanley-global-share-fund-managed-fund,372607000,4.81,0,0,Unclassified
IZZ,ASX:IZZ,iShares China Large-Cap ETF (ASX:IZZ),https://www.listcorp.com/asx/izz/ishares-china-large-cap-etf,372572000,47.95,0,0,Unclassified
EML,ASX:EML,EML Payments Limited (ASX:EML),https://www.listcorp.com/asx/eml/eml-payments-limited,370749000,0.98,0,0,Financials
ATA,ASX:ATA,Atturra Limited (ASX:ATA),https://www.listcorp.com/asx/ata/atturra-limited,369523000,1.08,0,0,Information Technology
MMI,ASX:MMI,Metro Mining Limited (ASX:MMI),https://www.listcorp.com/asx/mmi/metro-mining-limited,369234000,0.062,0,0,Materials
WJL,ASX:WJL,Webjet Group Limited (ASX:WJL),https://www.listcorp.com/asx/wjl/webjet-group-limited,367016000,0.935,0,0,Unclassified
ASG,ASX:ASG,Autosports Group Limited (ASX:ASG),https://www.listcorp.com/asx/asg/autosports-group-limited,364386000,1.8,0,0,Consumer Discretionary
X20,ASX:EX20,BetaShares Australian Ex-20 Portfolio Diversifier ETF (ASX:EX20),https://www.listcorp.com/asx/ex20/betashares-australian-ex-20-portfolio-diversifier-etf,363957000,22.55,0,0,Unclassified
BND,ASX:GBND,BetaShares Sustainability Leaders Diversified Bond ETF - Currency Hedged (ASX:GBND),https://www.listcorp.com/asx/gbnd/betashares-sustainability-leaders-diversified-bond-etf-currency-hedged,363784000,21.07,0,0,Unclassified
PAI,ASX:PAI,Platinum Asia Investments Limited (ASX:PAI),https://www.listcorp.com/asx/pai/platinum-asia-investments-limited,360838000,0.975,0,0,Financials
MLX,ASX:MLX,Metals X Limited (ASX:MLX),https://www.listcorp.com/asx/mlx/metals-x,358654000,0.4,0,0,Materials
RDY,ASX:RDY,ReadyTech Holdings Limited (ASX:RDY),https://www.listcorp.com/asx/rdy/readytech-holdings-limited,352206000,2.93,0,0,Information Technology
HUM,ASX:HUM,Humm Group Limited (ASX:HUM),https://www.listcorp.com/asx/hum/humm-group-limited,349150000,0.71,0,0,Financials
AVJ,ASX:AVJ,AVJennings Limited (ASX:AVJ),https://www.listcorp.com/asx/avj/avjennings-limited,348919000,0.625,0,0,Consumer Discretionary
SYA,ASX:SYA,Sayona Mining Limited (ASX:SYA),https://www.listcorp.com/asx/sya/sayona-mining,346299000,0.03,0,0,Materials
DSE,ASX:DSE,Dropsuite Limited (ASX:DSE),https://www.listcorp.com/asx/dse/dropsuite-limited,345676000,4.92,0,0,Information Technology
OFX,ASX:OFX,OFX Group Limited (ASX:OFX),https://www.listcorp.com/asx/ofx/ofx-group-limited,345561000,1.44,0,0,Financials
DUR,ASX:DUR,Duratec Limited (ASX:DUR),https://www.listcorp.com/asx/dur/duratec-limited,345297000,1.37,0,0,Industrials
100,ASX:F100,BetaShares FTSE 100 ETF (ASX:F100),https://www.listcorp.com/asx/f100/betashares-ftse-100-etf,345053000,12.57,0,0,Unclassified
EMI,ASX:SEMI,Global X Semiconductor ETF (ASX:SEMI),https://www.listcorp.com/asx/semi/global-x-semiconductor-etf,342867000,16.75,0,0,Unclassified
MAU,ASX:MAU,Magnetic Resources NL (ASX:MAU),https://www.listcorp.com/asx/mau/magnetic-resources,342764000,1.285,0,0,Materials
WQG,ASX:WQG,WCM Global Growth Limited (ASX:WQG),https://www.listcorp.com/asx/wqg/wcm-global-growth-limited,341588000,1.685,0,0,Financials
HTA,ASX:HTA,Hutchison Telecommunications (Australia) Limited (ASX:HTA),https://www.listcorp.com/asx/hta/hutchison-telecommunications-australia-limited,339313000,0.025,0,0,Communication Services
EBR,ASX:EBR,EBR Systems Inc. (ASX:EBR),https://www.listcorp.com/asx/ebr/ebr-systems-inc,337883000,0.915,0,0,Health Care
IGL,ASX:IGL,IVE Group Limited (ASX:IGL),https://www.listcorp.com/asx/igl/ive-group-limited,334560000,2.16,0,0,Communication Services
ARO,ASX:XARO,Activex Ardea Real Outcome Bond Fund (Managed Fund) (ASX:XARO),https://www.listcorp.com/asx/xaro/activex-ardea-real-outcome-bond-fund-managed-fund,331628000,23.75,0,0,Unclassified
MVE,ASX:MVE,Vaneck Vectors S&P/ASX Midcap ETF (ASX:MVE),https://www.listcorp.com/asx/mve/vaneck-vectors-s-and-p-asx-midcap-etf,331533000,41.9,0,0,Unclassified
HLO,ASX:HLO,Helloworld Travel Limited (ASX:HLO),https://www.listcorp.com/asx/hlo/helloworld-travel-limited,330520000,2.03,0,0,Consumer Discretionary
LUS,ASX:PLUS,VanEck Australian Corporate Bond Plus ETF (ASX:PLUS),https://www.listcorp.com/asx/plus/vaneck-australian-corporate-bond-plus-etf,329765000,16.9,0,0,Unclassified
1IF,ASX:L1IF,L1 Capital International Fund (Managed Fund) (ASX:L1IF),https://www.listcorp.com/asx/l1if/l1-capital-international-fund-managed-fund,329528000,6.53,0,0,Unclassified
GX1,ASX:AGX1,Antipodes Global Shares (Quoted Managed Fund) (ASX:AGX1),https://www.listcorp.com/asx/agx1/antipodes-global-shares,327491000,6.32,0,0,Unclassified
SPZ,ASX:SPZ,Smart Parking Ltd (ASX:SPZ),https://www.listcorp.com/asx/spz/smart-parking,326574000,0.935,0,0,Industrials
QLT,ASX:AQLT,BetaShares Australian Quality ETF (ASX:AQLT),https://www.listcorp.com/asx/aqlt/betashares-australian-quality-etf,325100000,32.24,0,0,Unclassified
ANG,ASX:ANG,Austin Engineering Ltd (ASX:ANG),https://www.listcorp.com/asx/ang/austin-engineering,322475000,0.52,0,0,Industrials
TEC,ASX:ATEC,BetaShares S&P/ASX Australian Technology ETF (ASX:ATEC),https://www.listcorp.com/asx/atec/betashares-s-and-p-asx-australian-technology-etf,320404000,31.5,0,0,Unclassified
IHD,ASX:IHD,iShares S&P/ASX Dividend Opportunities ETF (ASX:IHD),https://www.listcorp.com/asx/ihd/ishares-s-and-p-asx-dividend-opportunities-etf,318571000,14.76,0,0,Unclassified
PBH,ASX:PBH,Pointsbet Holdings Limited (ASX:PBH),https://www.listcorp.com/asx/pbh/pointsbet-holdings-limited,318085000,0.96,0,0,Consumer Discretionary
SKT,ASX:SKT,Sky Network Television Limited (ASX:SKT),https://www.listcorp.com/asx/skt/sky-network-television-limited,318029000,2.31,0,0,Communication Services
ACF,ASX:ACF,Acrow Limited (ASX:ACF),https://www.listcorp.com/asx/acf/acrow-limited,317836000,1.04,0,0,Industrials
SVR,ASX:SVR,Solvar Limited (ASX:SVR),https://www.listcorp.com/asx/svr/solvar-limited,317430000,1.55,0,0,Financials
GDI,ASX:GDI,GDI Property Group (ASX:GDI),https://www.listcorp.com/asx/gdi/gdi-property-group,317093000,0.59,0,0,Real Estate
HZN,ASX:HZN,Horizon Oil Limited (ASX:HZN),https://www.listcorp.com/asx/hzn/horizon-oil-limited,316934000,0.195,0,0,Energy
HCB,ASX:IHCB,iShares Core Global Corporate Bond (AUD Hedged) ETF (ASX:IHCB),https://www.listcorp.com/asx/ihcb/ishares-core-global-corporate-bond-aud-hedged-etf,316576000,92.76,0,0,Unclassified
PSQ,ASX:PSQ,Pacific Smiles Group Limited (ASX:PSQ),https://www.listcorp.com/asx/psq/pacific-smiles-group,315167000,1.95,0,0,Health Care
RG8,ASX:RG8,Regal Asian Investments Limited (ASX:RG8),https://www.listcorp.com/asx/rg8/regal-asian-investments-limited,315005000,2.04,0,0,Financials
PE1,ASX:PE1,Pengana Private Equity Trust (ASX:PE1),https://www.listcorp.com/asx/pe1/pengana-private-equity-trust,314806000,1.135,0,0,Financials
IMR,ASX:IMR,"Imricor Medical Systems, Inc. (ASX:IMR)",https://www.listcorp.com/asx/imr/imricor-medical-systems-inc,313404000,1.16,0,0,Health Care
QRE,ASX:QRE,BetaShares Australian Resources Sector ETF (ASX:QRE),https://www.listcorp.com/asx/qre/betashares-australian-resources-sector-etf,308460000,7.01,0,0,Unclassified
SBM,ASX:SBM,St Barbara Limited (ASX:SBM),https://www.listcorp.com/asx/sbm/st-barbara-limited,307914000,0.34,0,0,Materials
SMI,ASX:SMI,Santana Minerals Limited (ASX:SMI),https://www.listcorp.com/asx/smi/santana-minerals-limited,307163000,0.48,0,0,Materials
CVN,ASX:CVN,Carnarvon Energy Limited (ASX:CVN),https://www.listcorp.com/asx/cvn/carnarvon-energy-limited,304145000,0.17,0,0,Energy
KSL,ASX:KSL,Kina Securities Limited (ASX:KSL),https://www.listcorp.com/asx/ksl/kina-securities-limited,303786000,1.055,0,0,Financials
ALK,ASX:ALK,Alkane Resources Limited (ASX:ALK),https://www.listcorp.com/asx/alk/alkane-resources-limited,302771000,0.5,0,0,Materials
WC8,ASX:WC8,Wildcat Resources Limited (ASX:WC8),https://www.listcorp.com/asx/wc8/wildcat-resources-limited,299870000,0.23,0,0,Materials
MRE,ASX:MRE,Metrics Real Estate Multi-Strategy Fund (ASX:MRE),https://www.listcorp.com/asx/mre/metrics-real-estate-multi-strategy-fund,298290000,1.97,0,0,Unclassified
SFC,ASX:SFC,Schaffer Corporation Limited (ASX:SFC),https://www.listcorp.com/asx/sfc/schaffer-corporation-limited,297367000,21.88,0,0,Consumer Discretionary
PIA,ASX:PIA,Pengana International Equities Limited (ASX:PIA),https://www.listcorp.com/asx/pia/pengana-international-equities-limited,297034000,1.155,0,0,Financials
AMI,ASX:AMI,Aurelia Metals Limited (ASX:AMI),https://www.listcorp.com/asx/ami/aurelia-metals-limited,296024000,0.175,0,0,Materials
PWR,ASX:PWR,Peter Warren Automotive Holdings Limited (ASX:PWR),https://www.listcorp.com/asx/pwr/peter-warren-automotive-holdings-limited,295419000,1.715,0,0,Consumer Discretionary
REP,ASX:REP,RAM Essential Services Property Fund (ASX:REP),https://www.listcorp.com/asx/rep/ram-essential-services-property-fund,295232000,0.585,0,0,Real Estate
SPY,ASX:SPY,SPDR S&P 500 ETF Trust (ASX:SPY),https://www.listcorp.com/asx/spy/spdr-s-and-p-500-etf-trust,294203000,943.24,0,0,Unclassified
BOZ,ASX:BBOZ,BetaShares Australian Equities Strong Bear Hedge Fund (ASX:BBOZ),https://www.listcorp.com/asx/bboz/betashares-australian-equities-strong-bear-hedge-fund,292556000,24.62,0,0,Unclassified
BTZ,ASX:RBTZ,Betashares Global Robotics and Artificial Intelligence ETF (ASX:RBTZ),https://www.listcorp.com/asx/rbtz/betashares-global-robotics-and-artificial-intelligence-etf,291138000,15.19,0,0,Unclassified
OBL,ASX:OBL,Omni Bridgeway Limited (ASX:OBL),https://www.listcorp.com/asx/obl/omni-bridgeway-limited,291062000,1.03,0,0,Financials
ESG,ASX:IESG,iShares Core MSCI Australia ESG Leaders ETF (ASX:IESG),https://www.listcorp.com/asx/iesg/ishares-core-msci-australia-esg-leaders-etf,290399000,31.63,0,0,Unclassified
DIV,ASX:WDIV,SPDR S&P Global Dividend Fund (ASX:WDIV),https://www.listcorp.com/asx/wdiv/spdr-s-and-p-global-dividend-fund,287836000,20.57,0,0,Unclassified
VEQ,ASX:VEQ,Vanguard FTSE Europe Shares ETF (ASX:VEQ),https://www.listcorp.com/asx/veq/vanguard-ftse-europe-shares-etf,286245000,73.81,0,0,Unclassified
JMS,ASX:JMS,Jupiter Mines Limited (ASX:JMS),https://www.listcorp.com/asx/jms/jupiter-mines-limited,284273000,0.145,0,0,Materials
RCB,ASX:RCB,Russell Investments Australian Select Corporate Bond ETF (ASX:RCB),https://www.listcorp.com/asx/rcb/russell-investments-australian-select-corporate-bond-etf,284211000,20.19,0,0,Unclassified
LPR,ASX:GLPR,iShares Core FTSE Global Property Ex Australia (AUD Hedged) ETF (ASX:GLPR),https://www.listcorp.com/asx/glpr/ishares-core-ftse-global-property-ex-australia-aud-hedged-etf,284083000,27.58,0,0,Unclassified
ARU,ASX:ARU,Arafura Rare Earths Limited (ASX:ARU),https://www.listcorp.com/asx/aru/arafura-rare-earths-limited,283398000,0.115,0,0,Materials
IMU,ASX:IMU,Imugene Limited (ASX:IMU),https://www.listcorp.com/asx/imu/imugene,282656000,0.038,0,0,Health Care
AMA,ASX:AMA,AMA Group Limited (ASX:AMA),https://www.listcorp.com/asx/ama/ama-group-limited,282173000,0.059,0,0,Industrials
XHG,ASX:WXHG,SPDR S&P World ex Australia Carbon Control (Hedged) Fund (ASX:WXHG),https://www.listcorp.com/asx/wxhg/spdr-s-and-p-world-ex-australia-carbon-control-hedged-fund,280628000,26.46,0,0,Unclassified
PGH,ASX:PGH,Pact Group Holdings Ltd (ASX:PGH),https://www.listcorp.com/asx/pgh/pact-group-holdings-ltd,280596000,0.815,0,0,Materials
FID,ASX:FID,Fiducian Group Limited (ASX:FID),https://www.listcorp.com/asx/fid/fiducian-group-limited,280151000,8.9,0,0,Financials
LAU,ASX:LAU,Lindsay Australia Limited (ASX:LAU),https://www.listcorp.com/asx/lau/lindsay-australia-limited,278634000,0.885,0,0,Industrials
VLC,ASX:VLC,Vanguard MSCI Australian Large Companies Index ETF (ASX:VLC),https://www.listcorp.com/asx/vlc/vanguard-msci-australian-large-companies-index-etf,278519000,85.6,0,0,Unclassified
GRR,ASX:GRR,Grange Resources Limited (ASX:GRR),https://www.listcorp.com/asx/grr/grange-resources,277761000,0.24,0,0,Materials
STR,ASX:MSTR,Morningstar International Shares Active ETF (Managed Fund) (ASX:MSTR),https://www.listcorp.com/asx/mstr/morningstar-international-shares-active-etf-managed-fund,277686000,9.86,0,0,Unclassified
LUE,ASX:VLUE,VanEck MSCI International Value ETF (ASX:VLUE),https://www.listcorp.com/asx/vlue/vaneck-msci-international-value-etf,276286000,26.75,0,0,Unclassified
RHI,ASX:RHI,Red Hill Minerals Limited (ASX:RHI),https://www.listcorp.com/asx/rhi/red-hill-minerals-limited,273825000,4.29,0,0,Materials
STP,ASX:STP,Step One Clothing Limited (ASX:STP),https://www.listcorp.com/asx/stp/step-one-clothing-limited,271524000,1.465,0,0,Consumer Discretionary
AET,ASX:MAET,Munro Global Growth Fund (ASX:MAET),https://www.listcorp.com/asx/maet/munro-global-growth-fund,271131000,6.93,0,0,Unclassified
GDF,ASX:GDF,Garda Property Group (ASX:GDF),https://www.listcorp.com/asx/gdf/garda-property-group,270212000,1.235,0,0,Real Estate
AVH,ASX:AVH,"AVITA Medical, Inc. (ASX:AVH)",https://www.listcorp.com/asx/avh/avita-medical-inc.,269725000,3.86,0,0,Health Care
AFP,ASX:AFP,AFT Pharmaceuticals Limited (ASX:AFP),https://www.listcorp.com/asx/afp/aft-pharmaceuticals-limited,267409000,2.55,0,0,Health Care
XRF,ASX:XRF,XRF Scientific Limited (ASX:XRF),https://www.listcorp.com/asx/xrf/xrf-scientific-limited,266758000,1.9,0,0,Industrials
GOV,ASX:GGOV,BetaShares U.S. Treasury Bond 20+ Year ETF - Currency Hedged (ASX:GGOV),https://www.listcorp.com/asx/ggov/betashares-u.s.-treasury-bond-20-year-etf-currency-hedged,265379000,14.19,0,0,Unclassified
TCG,ASX:TCG,Turaco Gold Limited (ASX:TCG),https://www.listcorp.com/asx/tcg/turaco-gold-limited,263573000,0.32,0,0,Materials
OMH,ASX:OMH,OM Holdings Limited (ASX:OMH),https://www.listcorp.com/asx/omh/om-holdings-limited,260527000,0.34,0,0,Materials
WGN,ASX:WGN,Wagners Holding Company Limited (ASX:WGN),https://www.listcorp.com/asx/wgn/wagners-holding-company-limited,259694000,1.34,0,0,Materials
RDV,ASX:RDV,Russell Investments High Dividend Australian Shares ETF (ASX:RDV),https://www.listcorp.com/asx/rdv/russell-investments-high-dividend-australian-shares-etf,259247000,32.29,0,0,Unclassified
IRE,ASX:WIRE,Global X Copper Miners ETF (ASX:WIRE),https://www.listcorp.com/asx/wire/global-x-copper-miners-etf,258282000,13.29,0,0,Unclassified
LGI,ASX:LGI,LGI Limited (ASX:LGI),https://www.listcorp.com/asx/lgi/lgi-limited,257545000,2.9,0,0,Utilities
KMD,ASX:KMD,KMD Brands Limited (ASX:KMD),https://www.listcorp.com/asx/kmd/kmd-brands-limited,256200000,0.36,0,0,Consumer Discretionary
FND,ASX:FND,Findi Limited (ASX:FND),https://www.listcorp.com/asx/fnd/findi-limited,255326000,5.2,0,0,Financials
WAT,ASX:WAT,Waterco Limited (ASX:WAT),https://www.listcorp.com/asx/wat/waterco,255305000,7.26,0,0,Consumer Discretionary
URF,ASX:URF,US Masters Residential Property Fund (ASX:URF),https://www.listcorp.com/asx/urf/us-masters-residential-property,254058000,0.36,0,0,Real Estate
AGI,ASX:AGI,Ainsworth Game Technology Limited (ASX:AGI),https://www.listcorp.com/asx/agi/ainsworth-game-technology-limited,252595000,0.75,0,0,Consumer Discretionary
EGH,ASX:EGH,Eureka Group Holdings Limited (ASX:EGH),https://www.listcorp.com/asx/egh/eureka-group-holdings-limited,252386000,0.595,0,0,Real Estate
SEC,ASX:ISEC,iShares Enhanced Cash ETF (ASX:ISEC),https://www.listcorp.com/asx/isec/ishares-enhanced-cash-etf,252330000,100.56,0,0,Unclassified
MAX,ASX:UMAX,BetaShares S&P 500 Yield Maximiser Fund (managed fund) (ASX:UMAX),https://www.listcorp.com/asx/umax/betashares-s-and-p-500-yield-maximiser-fund-managed-fund,251299000,26.95,0,0,Unclassified
ONE,ASX:ONE,Oneview Healthcare Plc (ASX:ONE),https://www.listcorp.com/asx/one/oneview-healthcare-plc,250580000,0.335,0,0,Health Care
SYR,ASX:SYR,Syrah Resources Limited (ASX:SYR),https://www.listcorp.com/asx/syr/syrah-resources-limited,248374000,0.24,0,0,Materials
CAY,ASX:CAY,Canyon Resources Limited (ASX:CAY),https://www.listcorp.com/asx/cay/canyon-resources,247955000,0.175,0,0,Materials
